listing_id,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
10083,53423,for_sale,235000,4,2,0.4,999673,Birmingham,Alabama,35215,1849,3/15/21
10084,40988,for_sale,19500,3,2,2.01,1866273,Cullman,Alabama,35058,1980,
10085,69017,for_sale,38900,3,2,2.64,1381771,Cullman,Alabama,35058,1980,
10086,27052,for_sale,372172,3,3,0.7,620986,Cullman,Alabama,35058,2270,
10087,26073,for_sale,407537,4,3,0.21,626379,Cullman,Alabama,35058,3014,
10088,69017,for_sale,19900,3,2,0.36,1158959,Cullman,Alabama,35058,1980,
10089,69017,for_sale,24900,3,2,0.5,1354988,Cullman,Alabama,35058,1980,
10090,69017,for_sale,24900,3,2,0.48,1293249,Cullman,Alabama,35058,1980,
10091,69017,for_sale,24900,3,2,0.48,1268676,Cullman,Alabama,35058,1980,
10092,26073,for_sale,398700,4,3,0.21,628286,Cullman,Alabama,35058,2521,
10093,26073,for_sale,385171,4,3,0.21,627760,Cullman,Alabama,35058,2521,
10094,50774,for_sale,210000,3,2,3,1864980,Holly Pond,Alabama,35083,1980,
10095,83873,for_sale,29900,3,2,1.4,1866135,Jemison,Alabama,35085,1980,
10096,83873,for_sale,39900,3,2,2.7,1893041,Jemison,Alabama,35085,1980,
10097,53423,for_sale,19000,3,2,0.27,558488,Jemison,Alabama,35085,1980,
10098,11811,for_sale,350000,3,2,7,1865361,Jemison,Alabama,35085,1980,
10099,5830,for_sale,190000,3,2,0.47,1718834,Birmingham,Alabama,35206,1555,8/22/90
10100,110001,for_sale,95000,3,1,0.17,1741539,Birmingham,Alabama,35206,1332,9/5/14
10101,19068,for_sale,239000,3,2,0.45,715271,Center Point,Alabama,35215,1320,4/23/21
10102,52848,for_sale,40000,1,1,0.23,1572536,Birmingham,Alabama,35206,1272,9/8/09
10103,53239,for_sale,219000,3,2,0.31,156782,Pinson,Alabama,35215,2004,7/20/98
10104,84185,for_sale,85000,2,1,0.7,742480,Birmingham,Alabama,35235,836,7/8/15
10105,105373,for_sale,215000,3,2,0.15,173169,Birmingham,Alabama,35212,1093,9/9/21
10106,63358,for_sale,119900,2,1,0.5,1129334,Falkville,Alabama,35622,704,
10107,101283,for_sale,45000,2,1,0.18,1678861,Birmingham,Alabama,35206,742,
10108,9614,for_sale,124900,4,2,0.24,150298,Birmingham,Alabama,35215,1636,2/3/20
10109,69491,for_sale,127000,2,2,0.04,219104,Birmingham,Alabama,35215,1323,1/3/20
10110,33263,for_sale,275000,12,4,0.7,1677259,Birmingham,Alabama,35206,1980,
10111,79938,for_sale,950000,6,5,0.77,1205748,Titus,Alabama,36080,4489,3/19/21
10112,108042,for_sale,119000,4,2,0.05,755534,Deatsville,Alabama,36022,1980,3/22/22
10113,110022,for_sale,119900,2,1,0.1,985451,Titus,Alabama,36080,520,7/12/16
10114,83020,for_sale,249900,3,2,2.36,842180,Deatsville,Alabama,36022,1904,8/5/19
10115,33689,for_sale,299000,3,3,0.24,905382,Titus,Alabama,36080,1836,8/27/14
10116,83020,for_sale,55000,3,2,4.65,791280,Deatsville,Alabama,36022,1980,
10117,14264,for_sale,499900,2,2,0.59,655859,Deatsville,Alabama,36022,2178,
10118,109855,for_sale,85000,3,2,1.97,255678,Lincoln,Alabama,35096,1920,12/18/17
10119,78958,for_sale,129000,3,2,3.02,1238907,Lincoln,Alabama,35096,1166,8/12/09
10120,16598,for_sale,179900,3,2,1.16,1293620,Lincoln,Alabama,35096,1510,6/24/16
10121,56196,for_sale,108000,1,1,0.7,1566909,Lincoln,Alabama,35096,400,
10122,35658,for_sale,310000,3,2,0.15,1620220,Lincoln,Alabama,35096,2160,2/16/06
10123,105963,for_sale,25000,3,2,2,238167,Lincoln,Alabama,35096,1980,
10124,78813,for_sale,349900,4,2,0.52,1315614,Springville,Alabama,35146,1930,1/26/09
10125,110001,for_sale,349900,4,4,0.51,1633035,Trussville,Alabama,35173,3066,2/23/21
10126,19068,for_sale,292500,3,2,0.47,1644498,Pinson,Alabama,35126,1654,5/21/21
10127,105495,for_sale,124900,3,2,3,1452642,Logan,Alabama,35098,1312,
10128,79702,for_sale,175000,3,2,1.25,1254747,Logan,Alabama,35098,1064,
10129,79702,for_sale,169900,3,2,0.41,935894,Logan,Alabama,35098,1064,
10130,79702,for_sale,169900,3,2,0.41,1268679,Logan,Alabama,35098,1064,
10131,79702,for_sale,169900,3,2,0.41,1293251,Logan,Alabama,35098,1064,
10132,79702,for_sale,169900,3,2,0.41,1045827,Logan,Alabama,35098,1064,
10133,79702,for_sale,169900,3,2,0.41,991138,Logan,Alabama,35098,1064,
10134,105495,for_sale,38000,3,2,3,1400928,Logan,Alabama,35098,1980,
10135,57459,for_sale,19900,3,2,3,913698,Logan,Alabama,35098,1980,
10136,79963,for_sale,35000,3,2,2.75,1866207,Cullman,Alabama,35098,1980,
10137,30297,for_sale,175000,3,2,1.23,1971617,Logan,Alabama,35098,1980,
10138,70021,for_sale,69000,3,2,3,1863393,Logan,Alabama,35098,1980,
10139,30297,for_sale,175000,3,2,1.23,1971612,Logan,Alabama,35098,1980,
10140,56189,for_sale,105000,3,2,3.6,1867662,Logan,Alabama,35098,1980,
10141,56189,for_sale,79000,3,2,2,1977793,Logan,Alabama,35098,1980,
10142,92429,for_sale,189500,3,2,0.7,329726,Logan,Alabama,35098,1980,
10143,56189,for_sale,875000,3,2,3.47,1398413,Logan,Alabama,35098,1980,
10144,110031,for_sale,750000,3,2,6,1865689,Logan,Alabama,35098,1980,
10145,78813,for_sale,209900,3,2,0.68,852432,Pinson,Alabama,35126,2181,9/6/05
10146,70650,for_sale,200000,3,2,0.63,833917,Center Point,Alabama,35215,2236,10/28/21
10147,35658,for_sale,180000,4,2,1.6,1554511,Birmingham,Alabama,35206,2436,1/21/22
10148,53423,for_sale,105000,3,2,0.19,1655716,Birmingham,Alabama,35206,1228,1/11/22
10149,93283,for_sale,299000,4,3,0.39,1514890,Fultondale,Alabama,35217,2400,5/3/18
10150,53423,for_sale,315000,5,4,0.42,1610643,Birmingham,Alabama,35215,3012,8/29/07
10151,53423,for_sale,165000,3,1,0.23,224798,Birmingham,Alabama,35215,1402,9/17/21
10152,25764,for_sale,326100,3,3,0.7,724574,Lakeview,Alabama,35111,2175,
10153,25764,for_sale,326900,3,3,0.7,724481,Lakeview,Alabama,35111,2175,
10154,25764,for_sale,341100,4,3,0.7,724373,Lakeview,Alabama,35111,2344,
10155,25764,for_sale,366100,5,3,0.7,724576,Lakeview,Alabama,35111,2618,
10156,25888,for_sale,346490,4,3,0.7,722020,McCalla,Alabama,35111,2344,
10157,110001,for_sale,289900,4,2,0.36,1492991,Clay,Alabama,35126,2730,1/29/99
10158,84185,for_sale,384000,4,5,0.53,1484830,Pinson,Alabama,35126,2924,
10159,110135,for_sale,660000,5,6,1.31,1514325,Trussville,Alabama,35173,3797,7/8/20
10160,41485,for_sale,69500,3,2,20,9288,Guntersville,Alabama,35976,1980,
10161,81389,for_sale,189900,3,2,6,1308585,Guntersville,Alabama,35976,1980,
10162,81389,for_sale,199000,3,2,2.31,1717352,Guntersville,Alabama,35976,1980,11/30/07
10163,55400,for_sale,15000,3,2,1.04,1213557,Guntersville,Alabama,35976,1980,
10164,16209,for_sale,56000,3,2,2.83,1979544,Guntersville,Alabama,35976,1980,
10165,75582,for_sale,725000,3,2,15,4142,Guntersville,Alabama,35976,1980,
10166,41485,for_sale,19500,3,2,0.7,1956014,Guntersville,Alabama,35976,1980,
10167,61251,for_sale,20000,3,2,0.52,653955,Guntersville,Alabama,35976,1980,
10168,81389,for_sale,398000,3,2,0.7,521587,Guntersville,Alabama,35976,1980,
10169,25406,for_sale,129900,3,2,1,548113,Guntersville,Alabama,35976,1980,
10170,61251,for_sale,109000,3,2,0.3,1838580,Guntersville,Alabama,35976,1980,
10171,61251,for_sale,20000,3,2,0.45,602570,Guntersville,Alabama,35976,1980,
10172,62495,for_sale,275000,3,2,0.7,1985334,Guntersville,Alabama,35976,1980,
10173,81389,for_sale,245000,3,2,0.37,1861650,Guntersville,Alabama,35976,1980,
10174,56193,for_sale,339500,3,2,1.94,1985332,Guntersville,Alabama,35976,1980,
10175,81389,for_sale,69000,3,2,0.67,433417,Guntersville,Alabama,35976,1980,
10176,81884,for_sale,599000,3,2,11.6,444221,Hartselle,Alabama,35640,1980,12/14/11
10177,63035,for_sale,18900,3,2,0.42,186009,Deatsville,Alabama,36022,1980,
10178,35297,for_sale,70000,3,2,40,324928,Rockford,Alabama,36026,1980,
10179,102454,for_sale,109900,3,2,0.68,3714,Verbena,Alabama,36091,1980,
10180,47173,for_sale,459350,5,4,0.7,104972,Leeds,Alabama,35094,2945,
10181,16598,for_sale,239900,3,2,5,1277141,Lincoln,Alabama,35096,1980,
10182,52442,for_sale,10900,3,2,0.5,7957,Lincoln,Alabama,35096,1980,
10183,110001,for_sale,2000000,3,2,30,242172,Lincoln,Alabama,35096,1980,
10184,53423,for_sale,150000,3,2,0.34,683843,Birmingham,Alabama,35215,1304,
10185,105373,for_sale,199000,4,3,0.4,630459,Birmingham,Alabama,35215,1700,3/16/18
10186,79834,for_sale,29950,2,1,0.13,1490234,Birmingham,Alabama,35212,1022,1/20/98
10187,48738,for_sale,235000,3,2,0.22,1482879,Pinson,Alabama,35126,1601,1/18/08
10188,110001,for_sale,199900,3,2,0.19,499086,Birmingham,Alabama,35235,1738,9/19/14
